"No.","Time","Source","Destination","Protocol","Length","Value","Info"
"289","5.799497","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","29","000010000a00001bc0bfcbd796141cde6f","Sent Write Command, Handle: 0x0022 (Tandem Diabetes Care: Unknown)"
"291","5.922252","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","49","000011001e0100b0d9b38da4fa066624e73f91ddfc7c2bfeba93103363b65d2cc1538f2aâ\200\246","Rcvd Handle Value Notification, Handle: 0x0022 (Tandem Diabetes Care: Unknown)"
"292","5.926387","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","32","0101120116010075ed1f50c234b2182086f3bdf8","Sent Write Command, Handle: 0x0022 (Tandem Diabetes Care: Unknown)"
"293","5.930032","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","23","00010e4e6733ec5d930ccf","Sent Write Command, Handle: 0x0022 (Tandem Diabetes Care: Unknown)"
"295","6.056993","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","22","0001130103010001e8cc","Rcvd Handle Value Notification, Handle: 0x0022 (Tandem Diabetes Care: Unknown)"
"296","6.067730","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0002200200382c","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"298","6.192966","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","23","0002210204020005008237","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"299","6.195975","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0003540300c11b","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"301","6.327551","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","67","00035503309fc00b3f9fc00b3f00000000000000007e4f6705df6a0f0030000000000000â\200\246","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"302","6.332185","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00043604005d77","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"304","6.462014","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","000437040850bf8d1a760c0000dcfd","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"305","6.465266","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","20","0005a005010077b6","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"307","6.552025","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","25","0005a1050600009add2476065f","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"308","6.555145","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","20","0006a0060104a3af","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"310","6.641977","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","25","0006a1060600041a000000fb30","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"311","6.651598","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00073607000e22","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"313","6.778337","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","000737070850bf8d1a770c0000a73a","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"314","6.783268","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0008240800331f","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"316","6.911902","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","23","0008250804000000146e30","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"317","6.913916","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0009320900c1dd","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"319","7.002011","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","26","000933090700000000000000a9f8","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"320","7.005083","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","000a2a0a005062","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"322","7.137067","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","29","000a2b0a0a00000000000000000000e4de","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"323","7.141233","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","000b280b00013f","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"325","7.227416","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","28","000b290b09000000000000000001df1d","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"326","7.230171","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","000c380c00f5e5","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"328","7.317463","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","28","000c390c0900ffc8c8c804c80000a4a5","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"329","7.320427","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","000d2c0d006749","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"331","7.407095","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","34","000d2d0d0f000000c8c80000000000000000000055ef","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"332","7.409146","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","000e2e0e005472","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"334","7.497255","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","37","000e2f0e12000000c8c80000000000000000000000000031ae","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"335","7.499763","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","000f3e0f000602","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"337","7.587114","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","000f3f0f0800ffffffffffffff9bed","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"338","7.590558","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0010441000820e","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"340","7.677229","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","00104510080000000000000000bda4","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"341","7.680270","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00114a1100b226","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"343","7.767075","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","00114b110800000000000000008298","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"344","7.769639","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00124612008006","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"346","7.856983","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","0012471208000000000000000084da","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"347","7.859927","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0013481300b02e","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"349","7.946973","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","00134913080000000000000000bbe6","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"350","7.950765","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00148a1400b0ff","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"352","8.037002","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","00148b1408b80b0000b80b0000c6fd","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"353","8.039175","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00158c1500217e","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"355","8.126979","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","23","00158d150410271027b92f","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"356","8.129472","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00165816002692","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
