No,Time,Source,Destination,Protocl,Length,Info,Value
1725,585.767733,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,16,"Rcvd Handle Value Notification, Handle: 0x001c (Tandem Diabetes Care: Unknown)",a0024000
840,113.511355,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,16,"Rcvd Handle Value Notification, Handle: 0x001c (Tandem Diabetes Care: Unknown)",40000000
819,106.992468,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,16,"Rcvd Handle Value Notification, Handle: 0x001c (Tandem Diabetes Care: Unknown)",40000000
1925,663.409464,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,16,"Rcvd Handle Value Notification, Handle: 0x001c (Tandem Diabetes Care: Unknown)",200c0000
1007,182.210321,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,16,"Rcvd Handle Value Notification, Handle: 0x001c (Tandem Diabetes Care: Unknown)",20084000
1838,609.706538,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,16,"Rcvd Handle Value Notification, Handle: 0x001c (Tandem Diabetes Care: Unknown)",20040000
782,105.167565,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,16,"Rcvd Handle Value Notification, Handle: 0x001c (Tandem Diabetes Care: Unknown)",20000400
1828,605.971542,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,32,"Sent Write Command, Handle: 0x0025 (Tandem Diabetes Care: Unknown)",035a9e5a3de80300000300000008000000000000
1829,605.975293,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,32,"Sent Write Command, Handle: 0x0025 (Tandem Diabetes Care: Unknown)",025a000000000000000000000000000000000000
1830,605.975491,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,32,"Sent Write Command, Handle: 0x0025 (Tandem Diabetes Care: Unknown)",015a000000006e638e1a7e34d7efb718c1b44b4d
1796,588.357251,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,32,"Sent Write Command, Handle: 0x0025 (Tandem Diabetes Care: Unknown)",0151a2511831638e1a9de6587a97de1be564d220
1715,573.778255,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,32,"Sent Write Command, Handle: 0x0025 (Tandem Diabetes Care: Unknown)",013aa23a1831638e1ae90d2ba38a8d01e8b70ac8
1229,207.124244,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,32,"Sent Write Command, Handle: 0x0022 (Tandem Diabetes Care: Unknown)",01011201160100a2bd1e4c126b632289839ca5cd
292,5.926387,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,32,"Sent Write Command, Handle: 0x0022 (Tandem Diabetes Care: Unknown)",0101120116010075ed1f50c234b2182086f3bdf8
662,95.432729,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,32,"Sent Write Command, Handle: 0x0022 (Tandem Diabetes Care: Unknown)",0101120116010018755c365e2010868fb551771a
1972,665.425232,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,43,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00816b811800006405a40100006405a40100006405a40100006405a4017bd3
1968,665.253285,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00816a81009fb8
1967,665.246612,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,43,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00806b801800006405a40100006405a40100006405a40100006405a4011a7f
1963,665.040489,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00806a8000ae8b
1962,665.035254,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,21,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",007f3d7f02002c8d21
1960,664.981781,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,24,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",007f3c7f05221200000b4f20
1959,664.97541,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,38,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",007eb37e1301dc0001640000000402000000000000000000cac0
1957,664.921897,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",007eb27e005577
1956,664.917254,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,31,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",007d3b7d0c2312000000000000221200007623
1954,664.86515,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",007d3a7d00fdb0
1952,664.855499,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,36,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",007c6d7c11e803000050460000e8030000e80300000141dd
1950,664.802943,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",007c6c7c00a26f
1949,664.795783,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,43,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",007ba57b180103000000b2638e1ae803000003080800000000e8030000bad6
1947,664.743344,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",007ba47b006379
1946,664.736245,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,37,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",007a2f7a12000000016400000000000000000000000000b853
1944,664.65203,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",007a2e7a00c9b6
1943,664.645218,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,34,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00792d790f000000016400000000000000000000ff49
1941,664.591582,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00792c7900fa8d
1940,664.585256,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,38,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0078b3781301dc0001640000000402000000000000000000bc1c
1938,664.532949,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0078b27800f3dd
1937,664.525399,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,31,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00773b770c231200000000000022120000df3e
1935,664.471244,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00773a7700365f
1934,664.465125,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,28,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",007639760900ffc8c8c8000001009d6a
1932,664.41221,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",763876006702
1931,664.407036,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,27,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0075237508000000000000040045fe
1929,664.353503,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",007522750096d3
1928,664.345778,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,28,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0074297409e8030000e803000000bf39
1926,663.417088,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",742874006627
1924,658.525143,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,31,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00733b730c1812000000000000171200001114
1920,657.009401,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00733a7300f293
1919,653.965305,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,27,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0072377208a9638e1afe0e000018ae
1917,653.238627,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0072367200a2d5
1915,624.025135,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,21,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00713d7102002b30f3
1913,623.971459,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,24,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00713c7105171200000376bc
1912,623.965413,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,31,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00703b700c181200000000000017120000b299
1910,623.912247,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00703a7000a1c6
1909,623.905638,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,31,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",006f3b6f0c18120000000000001712000028c4
1907,623.851905,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",006f3a6f00ecd5
1906,623.845294,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,43,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",006ea56e180000000000000000000000000000000000000000000000003619
1904,623.791163,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",006ea46e00e585
1903,623.785406,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,37,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",006d2f6d1200000005a4000000000000000000000000008157
1901,623.736677,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",006d2e6d002d2c
1900,623.72832,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,34,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",006c2d6c0f01030005a48a638e1ae803000008085885
1897,622.740614,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",006c2c6c007c71
1894,611.095479,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,43,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",006b6b6b1800006405a40100006405a40100006405a40100006405a4017be1
1891,610.98146,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",006b6a6b00e647
1890,610.976072,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,43,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",006a6b6a1800006405a40100006405a40100006405a40100006405a4011a4d
1886,610.743525,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",006a6a6a00d774
1885,610.73604,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,38,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0069b3691301dc00016400000004020000000000000000008747
1881,610.53111,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0069b26900b1ed
